Company_ID,Date,Sponsor,Govt,Institute,Foreign,Public
MJLBD,30/06/2022,71.52,0.00,21.23,0.15,7.10
MLDYEING,30/06/2022,30.57,0.00,17.24,0.00,52.19
MONNOAGML,30/06/2022,35.66,0.00,4.16,0.09,60.09
MONNOCERA,30/06/2022,48.30,0.00,12.24,0.06,39.40
MONNOFABR,30/06/2022,40.68,0.00,13.30,1.40,44.62
MONOSPOOL,30/06/2022,51.96,0.00,0.35,0.00,47.69
MPETROLEUM,30/06/2022,0.00,58.67,33.59,0.08,7.66
MTB,31/12/2021,42.33,0.00,22.84,0.16,34.67
NAHEEACP,30/06/2022,39.58,0.00,13.25,0.00,47.17
NATLIFEINS,31/12/2021,53.18,0.00,19.45,0.18,27.19
NAVANACNG,30/06/2022,42.49,0.00,27.22,0.00,30.29
NAVANAPHAR,30/06/2021,35.49,0.00,28.53,10.29,25.69
NBL,31/12/2021,28.48,0.00,23.43,0.86,47.23
NCCBANK,31/12/2021,37.40,0.00,21.98,0.50,40.12
NCCBLMF1,31/12/2022,15.00,0.00,67.46,0.00,17.54
NEWLINE,30/06/2021,30.82,0.00,26.98,0.00,42.20
NFML,30/06/2022,30.40,0.00,7.31,0.01,62.28
NHFIL,31/12/2021,52.88,9.34,12.51,0.00,25.27
NITOLINS,31/12/2021,35.00,0.00,9.32,0.00,55.68
NORTHERN,30/06/2020,15.09,0.00,0.00,0.00,84.91
NORTHRNINS,31/12/2021,31.55,0.00,18.43,0.00,50.02
NPOLYMER,30/06/2022,34.66,0.00,13.98,0.00,51.36
NRBCBANK,31/12/2021,73.32,0.00,2.70,0.00,23.98
NTC,30/06/2022,48.60,4.33,8.55,0.00,38.52
NTLTUBES,30/06/2022,0.05,51.00,6.54,0.00,42.41
NURANI,30/06/2020,30.93,0.00,16.81,0.00,52.26
OAL,30/06/2022,44.43,0.00,5.02,0.00,50.55
OIMEX,30/06/2022,30.01,0.00,28.62,0.00,41.37
OLYMPIC,30/06/2022,37.34,0.00,20.09,25.66,16.91
ONEBANKLTD,31/12/2021,32.06,0.00,21.69,0.22,46.03
ORIONINFU,30/06/2022,40.61,0.00,16.76,0.19,42.44
